State,<1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"Unborn, Unknown, and 18–21", Total Victims,"<1 Rate per 1,000 Children","1 Rate per 1,000 Children","2 Rate per 1,000 Children","3 Rate per 1,000 Children","4 Rate per 1,000 Children","5 Rate per 1,000 Children","6 Rate per 1,000 Children","7 Rate per 1,000 Children","8 Rate per 1,000 Children","9 Rate per 1,000 Children","10 Rate per 1,000 Children","11 Rate per 1,000 Children","12 Rate per 1,000 Children","13 Rate per 1,000 Children","14 Rate per 1,000 Children","15 Rate per 1,000 Children","16 Rate per 1,000 Children","17 Rate per 1,000 Children"
North Carolina,559,339,350,326,321,314,331,300,306,315,338,332,305,308,295,254,204,90,14,5601,4.7,2.8,2.9,2.6,2.6,2.5,2.7,2.4,2.4,2.5,2.6,2.5,2.3,2.3,2.2,1.9,1.5,0.7
North Dakota,218,124,134,117,129,103,114,111,94,96,95,96,83,82,66,55,40,20,20,1797,20.8,11.8,12.1,10.7,11.7,9.7,11,10.9,9.5,9.7,9.6,9.8,8.5,8.6,7,6.1,4.5,2.3
Ohio,4194,1501,1383,1457,1383,1360,1425,1351,1233,1228,1250,1166,1282,1200,1154,1121,972,714,96,25470,31.4,11,10,10.3,9.7,9.6,10,9.6,8.8,8.7,8.7,8,8.7,8.1,7.8,7.5,6.5,4.8
Oklahoma,2524,1162,1136,1033,976,927,854,766,744,712,726,706,654,583,497,434,397,249,68,15148,52.1,23.5,22.1,19.5,18.3,17.3,15.9,14.3,13.8,13.3,13.5,12.9,11.9,10.9,9.3,8.2,7.5,4.7
Oregon,1407,892,863,860,812,871,795,756,741,762,752,683,668,632,567,548,502,343,89,13543,32.5,20.3,19,18.2,17,18.1,16.6,15.7,15.1,15.5,15.4,13.5,13.2,12.7,11.6,11.1,10.2,7
Pennsylvania,411,258,223,220,212,211,215,205,217,236,221,235,317,315,360,364,289,237,71,4817,3.1,1.9,1.6,1.5,1.5,1.5,1.5,1.4,1.5,1.6,1.5,1.6,2.1,2.1,2.4,2.4,1.9,1.5
Puerto Rico,285,257,251,218,274,323,299,295,291,293,277,237,263,258,253,261,226,162,15,4738,13.3,12.5,11,8.6,10.1,11.1,9.9,9.3,9,8.5,7.9,6.7,7.2,6.9,6.6,6.9,6,4.1
Rhode Island,480,203,206,211,191,158,196,176,173,168,152,154,153,132,112,136,93,74,15,3183,45.6,18.6,19.1,18.9,17.2,14.4,18.1,16,15.6,15.2,13.9,13.4,13.2,11.1,9.3,11.1,7.5,5.9
South Carolina,2431,1314,1232,1144,1054,1100,1062,1047,1009,970,935,941,863,756,742,711,556,320,530,18717,43.3,23,21.1,19.2,17.3,18.1,17.5,17.1,16.4,15.5,14.6,14.4,13,11.7,11.7,11.2,8.9,5.1
South Dakota,255,141,125,96,109,97,89,78,73,71,59,62,67,62,59,33,30,26,5,1537,21.3,11.6,10.2,7.8,8.8,7.8,7.3,6.4,6,5.9,4.9,5,5.4,5.2,5,2.8,2.7,2.3
Tennessee,2221,782,521,508,488,464,424,390,365,386,366,391,485,425,444,401,374,326,98,9859,27.8,9.6,6.4,6.1,5.8,5.6,5.1,4.7,4.4,4.6,4.4,4.5,5.6,4.9,5.2,4.7,4.4,3.8
Texas,11614,5471,5195,4839,4604,4300,3333,3018,2819,2753,2616,2425,2339,2143,2037,1792,1572,927,296,64093,30.7,14.3,13,11.7,11,10.3,8.1,7.4,6.8,6.6,6.3,5.7,5.5,5.1,4.9,4.3,3.8,2.3
Utah,1209,551,601,522,545,543,571,534,519,517,530,559,546,562,627,645,550,427,21,10579,24.9,11.5,12.2,10.3,10.6,10.6,11,10.6,10,9.8,10,10.3,10,10.5,11.8,12.2,10.5,8.4
Vermont,60,54,55,61,49,52,47,28,43,45,41,33,43,41,61,49,41,42,6,851,10.8,9.7,9.3,10.3,8.1,8.3,7.7,4.5,6.9,7.1,6.5,5,6.3,6.1,9.1,7.1,5.9,6.1
Virginia,749,441,438,408,376,372,349,303,303,302,285,280,287,280,260,236,220,148,122,6159,7.7,4.4,4.3,4,3.6,3.6,3.4,2.9,2.9,2.9,2.8,2.6,2.7,2.6,2.5,2.2,2.1,1.4
Washington,399,314,322,289,265,256,258,221,215,224,206,208,211,206,191,186,143,103,5,4222,4.5,3.6,3.5,3.1,2.8,2.7,2.7,2.4,2.3,2.4,2.2,2.2,2.2,2.2,2.1,2,1.6,1.1
West Virginia,1321,401,412,354,392,403,411,378,388,342,287,302,284,280,232,205,176,123,36,6727,74.4,22.3,22.1,18.6,19.9,20.2,20.4,18.8,19.4,17.1,14.3,14.5,13.6,13.5,11.2,9.7,8.4,5.8
Wisconsin,537,314,308,277,288,284,291,264,225,231,213,228,231,214,203,195,150,111,12,4576,8.5,4.9,4.6,4.1,4.2,4.2,4.2,3.8,3.2,3.2,3,3.1,3.1,2.9,2.8,2.6,2,1.5
Wyoming,145,84,77,75,71,65,79,50,66,64,45,60,41,42,45,38,32,16,1,1096,22.1,12.5,10.9,10.3,9.7,8.8,10.7,6.8,8.9,8.2,5.8,7.5,5.1,5.4,5.8,5.1,4.3,2.2
National,97879,44411,42073,40307,38708,37858,36303,34576,33015,32890,32193,31016,30545,28831,27807,26827,22878,15537,2589,656243,25.7,11.5,10.7,10,9.5,9.3,9,8.5,8.1,8,7.9,7.3,7.2,6.8,6.6,6.4,5.5,3.7
Reporting States,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,,,,,,,,,,,,,,,,,,
